Velas cargadas: 252 desde velas_simuladas_1anio.csv

=== MhiMayoria_Caso3_2Martingalas ===
Estado: Success
CashFinal: 1020.665
Trades: 81
PnL total: 30.76
Ganadores: 54 · Perdedores: 26 · Neutros(PnL=0): 1
  Timestamp=219 Oficial=A EquityA=1025.310 EquityB=1025.310 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=220 Oficial=A EquityA=1025.490 EquityB=1025.490 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=221 Oficial=A EquityA=1025.490 EquityB=1025.490 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=222 Oficial=A EquityA=1026.370 EquityB=1026.370 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=223 Oficial=A EquityA=1026.480 EquityB=1026.480 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=224 Oficial=A EquityA=1026.480 EquityB=1026.480 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=225 Oficial=A EquityA=1026.610 EquityB=1026.610 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=226 Oficial=A EquityA=1026.400 EquityB=1026.400 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=227 Oficial=A EquityA=1026.400 EquityB=1026.400 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=228 Oficial=A EquityA=1026.180 EquityB=1026.180 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=229 Oficial=A EquityA=1026.730 EquityB=1026.730 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=230 Oficial=A EquityA=1026.730 EquityB=1026.730 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=231 Oficial=A EquityA=1026.790 EquityB=1026.790 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=232 Oficial=A EquityA=1026.920 EquityB=1026.920 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=233 Oficial=A EquityA=1029.700 EquityB=1029.700 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=234 Oficial=A EquityA=1029.520 EquityB=1029.520 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=235 Oficial=A EquityA=1029.810 EquityB=1029.810 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=236 Oficial=A EquityA=1029.810 EquityB=1029.810 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=237 Oficial=A EquityA=1030.290 EquityB=1030.290 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=238 Oficial=A EquityA=1029.970 EquityB=1029.970 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=239 Oficial=A EquityA=1029.970 EquityB=1029.970 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=240 Oficial=A EquityA=1030.310 EquityB=1030.310 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=241 Oficial=A EquityA=1030.350 EquityB=1030.350 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=242 Oficial=A EquityA=1030.350 EquityB=1030.350 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=243 Oficial=A EquityA=1030.350 EquityB=1030.350 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=244 Oficial=A EquityA=1030.350 EquityB=1030.350 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=245 Oficial=A EquityA=1030.350 EquityB=1030.350 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=246 Oficial=A EquityA=1030.440 EquityB=1030.440 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=247 Oficial=A EquityA=1030.920 EquityB=1030.920 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=248 Oficial=A EquityA=1030.920 EquityB=1030.920 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=249 Oficial=A EquityA=1030.730 EquityB=1030.730 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=250 Oficial=A EquityA=1030.760 EquityB=1030.760 Diff=0.000 Empate=True FillsA=0 FillsB=0
  Timestamp=251 Oficial=A EquityA=1030.760 EquityB=1030.760 Diff=0.000 Empate=True FillsA=1 FillsB=1
  Timestamp=252 Oficial=A EquityA=1030.920 EquityB=1030.920 Diff=0.000 Empate=True FillsA=1 FillsB=1
